hypothesis,budget,threshold,episodes,map_accuracy,map_accuracy_ci_lower,map_accuracy_ci_upper,success_at_threshold,success_ci_lower,success_ci_upper,mean_experiments,median_experiments,stddev_experiments,mean_true_posterior,median_true_posterior,p10_true_posterior,p25_true_posterior,p75_true_posterior,p90_true_posterior,threshold_reached_fraction,budget_exhausted_fraction,cumulative_action_regret,mean_episode_action_regret,mean_action_regret,first_repeat_trial_frequency,first_use_trusted_sensor_frequency,first_change_context_frequency,overall_repeat_trial_frequency,overall_use_trusted_sensor_frequency,overall_change_context_frequency,mean_repeat_trials,mean_trusted_sensor_uses,mean_context_changes
NO_STRUCTURAL_CHANGE,5,0.95,1000,0.493,0.46209940740448396,0.5239541672143138,0.0,2.168404344971009e-19,0.0038267584855551234,4.696,5.0,0.6690171896147363,0.5541899472149102,0.4290696381161609,0.019173680700806828,0.02781691973791338,0.935670669208673,0.935670669208673,0.211,0.789,0.0,0.0,0.0,0.0,1.0,0.0,0.19165247018739354,0.4778534923339012,0.33049403747870526,0.9,2.244,1.552
WORLD_SHIFT,5,0.95,1000,0.947,0.9313253831625082,0.9592534947514054,0.901,0.8809263810632503,0.9180045586313347,3.609,3.0,0.9198472699312642,0.9082341903847528,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.908,0.092,0.0,0.0,0.0,0.0,1.0,0.0,0.011083402604599613,0.714879467996675,0.27403712939872543,0.04,2.58,0.989
SENSOR_CORRUPTION,5,0.95,1000,0.93,0.9124853518487167,0.9442236358537061,0.816,0.7907901792135869,0.8387913094235423,3.682,3.0,0.9470353742073208,0.8639634477544794,0.9542906546822937,0.5763456240587699,0.9542906546822937,0.9542906546822937,0.9623973145207595,0.831,0.169,0.0,0.0,0.0,0.0,1.0,0.0,0.1040195545898968,0.6241173275393808,0.2718631178707224,0.383,2.298,1.001
MISSING_LATENT_VARIABLE,5,0.95,1000,0.924,0.9059043568759517,0.9388505519282977,0.564,0.5330781384432806,0.5944320364705682,4.404,4.0,0.5222872772718095,0.8762314232323883,0.9727853134393477,0.418689719112161,0.9354171626624176,0.9727853134393477,0.9727853134393477,0.585,0.415,0.0,0.0,0.0,0.0,1.0,0.0,0.2050408719346049,0.5690281562216167,0.2259309718437784,0.903,2.506,0.995
NO_STRUCTURAL_CHANGE,8,0.8,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,2.288,2.0,0.8384843469021948,0.12547383349886956,0.14210106927989954,0.01633436507617478,0.14210106927989954,0.14210106927989954,0.14210106927989954,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.013986013986013986,0.9283216783216783,0.057692307692307696,0.032,2.124,0.132
WORLD_SHIFT,8,0.8,1000,0.83,0.805465935038086,0.8520084043614475,0.828,0.8033660485432,0.8501235978902758,3.236,3.0,1.0384141755580958,0.8245675534632918,0.9676550938319688,0.13490975599951766,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.997,0.003,0.0,0.0,0.0,0.0,1.0,0.0,0.004944375772558714,0.6878862793572311,0.30716934487021014,0.016,2.226,0.994
SENSOR_CORRUPTION,8,0.8,1000,0.94,0.9235289252086434,0.953103527324068,0.939,0.9224198811757163,0.9522202248739662,2.63,2.0,1.4529624909129624,0.7882138767409594,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.8323062629251259,0.991,0.009,0.0,0.0,0.0,0.0,1.0,0.0,0.07452471482889733,0.8752851711026616,0.050190114068441066,0.196,2.302,0.132
MISSING_LATENT_VARIABLE,8,0.8,1000,0.966,0.9528648097546889,0.9755686513367737,0.96,0.945990355878742,0.9704890263145473,2.697,2.0,1.393266306202802,0.802824603430688,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.8287313582827511,0.8504161618094119,0.992,0.008,0.0,0.0,0.0,0.0,1.0,0.0,0.05932517612161661,0.5721171672228402,0.3685576566555432,0.16,1.543,0.994
NO_STRUCTURAL_CHANGE,8,0.9,1000,0.704,0.6749696568758727,0.7314690256620207,0.646,0.6158536169290485,0.6750289695931695,5.218,5.0,1.5311681814875857,0.6501182091944714,0.935670669208673,0.01853177788317706,0.02781691973791338,0.935670669208673,0.935670669208673,0.929,0.071,0.0,0.0,0.0,0.0,1.0,0.0,0.21425833652740514,0.4350325795323879,0.350709083940207,1.118,2.27,1.83
WORLD_SHIFT,8,0.9,1000,0.96,0.945990355878742,0.9704890263145473,0.958,0.9437155747733968,0.9687791144538346,3.586,3.0,1.0911480192897753,0.9227136664731916,0.9676550938319688,0.9140753345631457,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.993,0.007,0.0,0.0,0.0,0.0,1.0,0.0,0.006692693809258227,0.7144450641383157,0.2788622420524261,0.024,2.562,1
SENSOR_CORRUPTION,8,0.9,1000,0.948,0.93244426068072,0.9601269637162226,0.902,0.882005297700964,0.9189179884766496,3.989,3.0,1.5971471441291814,0.9025803243256203,0.9542906546822937,0.9418903273332466,0.9542906546822937,0.9542906546822937,0.9623973145207595,0.945,0.055,0.0,0.0,0.0,0.0,1.0,0.0,0.14389571321133116,0.5983955878666333,0.2577086989220356,0.574,2.387,1.028
MISSING_LATENT_VARIABLE,8,0.9,1000,0.954,0.9391877960583809,0.9653375072367351,0.945,0.9290916123226243,0.9575025726252315,3.902,3.0,1.4994652380098714,0.8992386967640891,0.9402180853004488,0.9402180853004488,0.9402180853004488,0.9402180853004488,0.944813441022313,0.982,0.018,0.0,0.0,0.0,0.0,1.0,0.0,0.08021527421834956,0.6604305484366991,0.2593541773449513,0.313,2.577,1.012
NO_STRUCTURAL_CHANGE,8,0.95,1000,0.703,0.6739460359438715,0.730500300110993,0.616,0.5854663334716732,0.645645858559678,6.079,6.0,1.5914644199604338,0.6712364773393172,0.9840297551879416,0.019173680700806828,0.02781691973791338,0.9864948151458974,0.9864948151458974,0.887,0.113,0.0,0.0,0.0,0.0,1.0,0.0,0.3242309590393157,0.37374568185556833,0.30202335910511596,1.971,2.272,1.836
WORLD_SHIFT,8,0.95,1000,0.98,0.9693099947702822,0.987016317083585,0.96,0.945990355878742,0.9704890263145473,3.824,3.0,1.3867314087450389,0.9493587776921747,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.9676550938319688,0.9887467022790353,0.969,0.031,0.0,0.0,0.0,0.0,1.0,0.0,0.020135983263598327,0.7183577405857741,0.2615062761506276,0.077,2.747,1
SENSOR_CORRUPTION,8,0.95,1000,0.965,0.9517133776255466,0.9747277369828871,0.892,0.8712410199098767,0.9097588014374481,4.146,3.0,1.792396161566968,0.914358787469397,0.9542906546822937,0.8655389309173199,0.9542906546822937,0.9542906546822937,0.9623973145207595,0.911,0.089,0.0,0.0,0.0,0.0,1.0,0.0,0.1714905933429812,0.5803183791606368,0.24819102749638206,0.711,2.406,1.029
MISSING_LATENT_VARIABLE,8,0.95,1000,0.957,0.942580996155916,0.9679213465882865,0.902,0.882005297700964,0.9189179884766496,5.086,4.0,1.4500358616254978,0.9265751432112607,0.9727853134393477,0.9508251419037226,0.9717053316859664,0.9727853134393477,0.9727853134393477,0.924,0.076,0.0,0.0,0.0,0.0,1.0,0.0,0.28352339756193473,0.517105780574125,0.19937082186394023,1.442,2.63,1.014
